특허명,출원일자,등록일자,출원국
직교주파수분할다중접속 시스템에서 파워 레벨을 조절한 경쟁 방식,2008-06-09,2012-03-13,미국
"이동국 간의 peer-to-peer 통신을 위한 장치 및 그 방법, 이동국 장치",2006-09-11,2010-06-08,미국
광 검출기를 구비한 수직 공진 표면방출 레이저,2006-12-08,2010-09-28,미국
다중 안테나 시스템을 갖는 OFDMA시스템에서 효율적인 고속 퓨리에 변환 장치 및 수신기 구조,2006-12-07,2009-09-22,미국
출력파장과 출력파워가 외부 온도에 무관한 외부공진레이저,2009-07-17,2011-08-09,미국
프리셋 오디오 장면을 이용한 객체기반 3차원 오디오 서비스 시스템 및 그 방법,2008-12-19,2011-09-21,중국
프리셋 오디오 장면을 이용한 객체기반 3차원 오디오 서비스 시스템 및 그 방법,2008-11-24,2012-08-01,영국
저위상잡음 차동형 전류부궤환 전압제어발진기,2006-09-11,2008-08-19,미국
파장분할다중화 수동형 광가입자망(WDM-PONs) 및 그 광가입자망의 파장 초기화 방법,2006-07-28,2007-09-12,대한민국
ＯＦＤＭＡ에서의 패킷 데이터 전송 방법 및 장치,2008-05-19,2013-02-05,미국
동기채널의 위치변조를 이용하는 셀 탐색 방법,2008-10-03,2012-08-21,미국
패킷 전송을 위한 셀룰라 시스템에서 저전력 소모를 위한 DTX 동작 방법 및 장치,2010-03-30,2011-11-09,독일
셀룰라 시스템에서의 단말기 저전력 소모를 위한 불연속 송수신 방법 및 장치,2006-12-22,2011-08-17,스페인
패킷 전송을 위한 셀룰라 시스템에서 저전력 소모를 위한 DTX 동작 방법 및 장치,2011-06-10,2013-04-17,이탈리아
패킷 전송을 위한 셀룰라 시스템에서 저전력 소모를 위한 DTX 동작 방법 및 장치,2011-06-10,2013-04-17,NETHERLAND
패킷 전송을 위한 셀룰라 시스템에서 저전력 소모를 위한 DTX 동작 방법 및 장치,2010-03-30,2011-11-09,스웨덴
셀룰라 시스템에서의 단말기 저전력 소모를 위한 불연속 송수신 방법 및 장치,2017-11-14,2019-07-02,미국
셀룰러 시스템의 하향 링크 신호 생성 장치와 셀 탐색 방법 및 장치,2008-06-25,2014-10-30,인도
최대 경사 알고리즘을 이용한 양자화 전처리기 코드북 최적화 방법 및 장치,2007-05-02,2010-06-29,미국
"고균일도, 고효율의 전계 방출 장치",2008-08-13,2011-09-13,미국
SC-FDMA 통신 시스템의 수신 장치,2006-09-14,2007-09-06,대한민국
"OFDM 셀룰러 시스템에서의 셀 탐색 방법, 순방향 링크 프레임 전송 방법 및 이를 이용하는 장치 및 순방향 링크 프레임 구조",2008-05-12,2013-04-02,미국
랜덤액세스 다이버시티를 얻기 위한 이동국의 송신 방법,2008-10-20,2012-09-04,미국
2단계 잡음채널 및 동적 탐색 공간 적재 방식을 사용한 고속 음성 인식 방식,2006-12-20,2010-12-21,미국
고감도 가스 감지기,2009-01-15,2012-01-03,미국
금속-절연체-반도체 구조의 가변 광 위상 천이기 및 광 감쇄기,2009-01-16,2011-04-12,미국
스케일러블 대역폭을 지원하는 수신 장치 및 그 방법,2009-04-10,2012-12-25,미국
스케일러블 대역폭을 지원하는 단말 수신 장치 및 방법,2012-11-21,2013-12-31,미국
온도와 전기장을 이용한 금속-절연체 전이 온도 센서,2009-06-15,2012-11-06,미국
스트레인드 베리드 패널을 구비하는 광소자,2009-03-13,2011-04-19,미국
플렉시블 기판의 적층 방법,2007-07-09,2011-10-18,미국
"절연막, 이를 이용한 유기박막 트랜지스터 및 제조방법",2007-07-25,2011-10-18,미국
다양한 데이터양을 가지는 고속데이터들간의 인터페이스 변환 방법 및 장치,2007-11-29,2009-11-24,미국
이더넷 기반의 수동 광 가입자망에서의 ＯＮＵ 버퍼 크기 모델링과 데이터,2006-09-29,2008-01-24,대한민국
다양한 센서 네트워크로의 통합질의 처리를 위한 이종 센싱데이터 통합처리 시스템 및 그 방법,2007-10-31,2011-02-01,미국
제한된 통과대역을 이용하는 인체 통신 시스템 및 그 방법,2009-05-15,2012-12-25,미국
인지 무선 시스템에서 유연하게 대역폭을 사용하는 방법,2008-05-06,2012-03-20,캐나다
인지 무선 시스템에서 유연하게 대역폭을 사용하는 방법,2008-05-05,2013-03-27,프랑스
인지 무선 시스템에서 유연하게 대역폭을 사용하는 방법,2008-08-22,2013-07-02,미국
온칩 네트워크의 병렬성을 높이기 위한 슬레이브 네트워크 인터페이스 회로 및 그 시스템,2007-09-26,2011-03-29,미국
멀티-비트 파이프라인 아날로그-디지털 변환기에서의 다단 증폭기 공유 기법,2007-04-02,2008-07-08,미국
다중 안테나를 탑재한 무선 통신 노드간의 안테나 혹은 노드 선택 알고리즘,2007-04-18,2011-04-05,미국
광대역 내전력 시험 시스템 및 시험 방법,2006-11-16,2008-04-22,대한민국
"평판형 광도파로(ＰＬＣ) 소자, 그 소자를 포함한 파장 가변 광원 및 그 광원을 이용한 ＷＤＭ-ＰＯＮ",2007-09-14,2009-11-12,대한민국
평판형도파로 열광학 소자,2009-06-03,2012-11-27,미국
"이동통신 시스템에서 상향링크 동기화 요청 방법, 그에 따른 CDMA 할당 정보 요소 구조 및 그에 따른 장치",2008-12-12,2013-08-06,미국
DFT-S-OFDM 시스템에서 셀간 이종 주파수 호핑을 이용한 랜덤액세스 방법,2009-01-30,2012-03-06,미국
전기 유변 유체를 이용한 점자 디스플레이 장치 및 그 제조 방법,2007-12-05,2011-11-01,미국
유기물/무기물 복합 박막 증착 방법 및 증착 장치,2007-12-05,2010-09-21,미국
카메라를 이용한 위치 인식 장치 및 그 방법,2007-12-05,2011-08-02,미국
미세패터닝이 가능한 고 신뢰성의 CNT 에미터 제조 방법,2007-12-07,2010-09-22,중국
미세패터닝이 가능한 고 신뢰성의 CNT 에미터 제조 방법,2007-11-21,2011-02-15,미국
DMB 다중주파수 망에서의 자동 DMB 채널 전환 장치 및 그 방법,2009-06-05,2013-08-30,말레이시아
반사형 반도체 광증폭기 기반 수동형 광가입자망,2006-09-29,2008-03-27,대한민국
동적 전류 주입을 통해 하향 광신호를 재활용하기 위한 선궤환전류 구동장치 및 반도체 광 증폭기,2007-01-04,2008-02-26,대한민국
인터밴드 공진터널링 반도체 양자 레이저,2007-12-07,2010-07-13,미국
화소 유사성에 따라 적응적인 이산 코사인 변환 계수 스캐닝을 이용한 부호화/복호화 장치 및 그 방법,2009-02-16,2013-10-01,미국
"화소 유사성에 따라 적응적인 DCT 계수 스캐닝을 이용한 부호화 및 복호화 방법, 그 장치",2013-08-23,2015-10-06,미국
"화소 유사성에 따라 적응적인 DCT 계수 스캐닝을 이용한 부호화 및 복호화 방법, 그 장치",2015-08-11,2017-08-15,미국
"화소 유사성에 따라 적응적인 DCT 계수 스캐닝을 이용한 부호화 및 복호화 방법, 그 장치",2019-06-12,2022-05-10,미국
광트랜시버에서 광출력 지터를 감소시키는 방법 및 장치,2007-11-05,2011-09-06,미국
주파수 선택적 기저대역을 이용하는 디지털 통신 시스템 및 그 방법,2009-07-06,2019-02-20,프랑스
주파수 선택적 기저대역을 이용하는 디지털 통신 시스템 및 그 방법,2009-05-30,2013-01-08,미국
인지 무선 시스템에서 채널 탐색 및 변환 방법,2008-07-16,2013-02-27,중국
"인지 무선 시스템에서의 채널스위칭 방법, 주파수채널을 관리하는 방법, 이를 이용하는 기지국 및 단말",2006-11-16,2009-03-13,대한민국
"다차원 회선분배시스템, 운용방법 및 이를 이용한 통신망",2009-05-14,2012-04-10,미국
이동통신망을 통한 고객 맞춤식 친구찾기 서비스,2007-10-26,2011-11-08,미국
Low Power 모드 MPEG Surround 디코더에서 HE-AAC 다운믹스 신호와의 동기 방법 및 장치,2011-10-10,2013-04-26,스페인
공간큐를 이용한 다객체 또는 다채널 오디오 신호의 랜더링 제어 방법 및 그 장치,2008-08-04,2012-04-06,일본
공간큐를 이용한 다객체 또는 다채널 오디오 신호의 랜더링 제어 방법 및 그 장치,2012-08-07,2019-04-30,미국
보안큐브를 이용한 네트워크 상태 표시장치 및 방법,2009-05-27,2011-09-06,미국
부하 분산을 위한 멀티미디어 방송형 멀티캐스트 서비스 제어 시스템 및 그 제어 방법,2009-03-30,2012-10-16,미국
통신 시스템에서의 무선 자원 할당 방법 및 장치,2009-01-06,2012-03-13,미국
이동통신 시스템의 자원 할당 맵 구성 방법,2008-11-21,2012-12-11,미국
패킷 수신 방법 및 패킷 전송 방법,2009-01-06,2014-11-18,미국
빔 형성 방법 및 장치,2009-06-04,2012-08-14,미국
다중 안테나를 위한 심볼 생성 장치 및 방법,2009-05-06,2013-07-16,미국
"이동통신 시스템에서 이동 단말의 핸드오버 방법, 이를 위한 기지국 및 이동 단말",2008-12-12,2014-01-14,미국
이동통신시스템에서의 상향링크 프레이밍 장치 및 방법,2007-12-07,2011-08-09,미국
분산 중계 장치 및 그 방법,2006-12-05,2008-06-12,대한민국
다채널 오디오 음상제어 방법 및 그 장치,2012-08-14,2017-05-17,독일
이동 멀티홉 릴레이를 이용한 상향 액세스 링크 전력 제어 방법 및 그 시스템,2007-04-26,2014-04-10,대한민국
이동 통신 단말기에서 초절전 모드의 제공 방법 및 그 장치,2007-11-27,2012-04-03,미국
이동통신 시스템에서 채널의 지연확산에 따른 채널 추정 장치 및 그 방법,2007-10-31,2012-09-25,미국
다층 히터를 포함하는 상변화 메모리 소자,2010-06-23,2014-10-28,미국
멀티캐스트 브로드캐스트 서비스 제공 방법,2009-06-05,2013-05-14,미국
4개의 송신 안테나가 있는 이동통신 시스템에서 공간 시간 부호의 검출 방법,2007-10-30,2011-03-01,미국
MMR통신 시스템에서 초기 레인징 타이밍을 효율적으로 결정하는 방법 및 그프 그램이 저장된 기록매체,2009-06-08,2013-01-01,미국
무선통신 시스템에서 채널품질정보를 보고하는 방법,2007-10-29,2014-06-09,대한민국
무선 이동 네트워크에서 단말기의 ＩＰｖ６ 주소 설정 방법 및 그 장치,2007-10-16,2011-08-23,미국
횡단보도 인식에 의한 교차로 중심선 예측 장치 및 그 방법,2007-09-20,2011-02-22,미국
멀티 비트 델타 시그마 변조기,2007-12-05,2009-06-09,미국
패리티 검사행렬 저장 방법 및 이를 이용한 블록 저밀도 패리티 검사 부호화 방법 및 장치,2007-09-26,2012-05-29,미국
매립된 단열 구조를 가진 마이크로 가스센서,2007-12-06,2011-06-21,미국
가변 대역폭 무선 채널 측정 방법 및 이를 위한 송수신장치,2007-12-06,2012-02-07,미국
간극제한장치를 이용한 초소형 고감도 정전용량형 가속도계,2009-05-30,2012-02-14,미국
드로네이 공간 분할에 기반한 곡률반영 등위곡면 생성 시스템 및 방법,2007-12-04,2011-09-20,미국
바이오칩 리더기,2009-06-04,2013-07-31,중국
임베디드 시스템 및 그를 위한 페이지 재배치 방법,2007-12-04,2011-03-01,미국
3GPP 시스템 Node B에서 BCCH 스케줄링 오류 탐지 및 BCH PDU 인코딩 방 법,2007-07-25,2012-02-21,미국
다양한 대여폭을 가지는 주파수 분할 다중 접속 무선 통신 서비스를 제공하는 기지국 혹은 단말 안테나단의 구성 방안,2007-10-30,2010-11-23,미국
무선 통신 시스템에서의 IP 관리를 위한 연결 제어 방법,2007-11-23,2011-06-28,미국
효율적인 ACK/NACK 채널 송수신 기법과 장치,2009-06-05,2012-04-03,미국
편광판과 고속푸리에변환을 이용한 나노선 소자용 고분해능 광학 현미경 시스템,2007-11-01,2011-02-25,일본
가상화 기반 고가용성 클러스터 시스템 및 고가용성 클러스터 시스템에서 장애 관리 방법,2009-05-30,2011-10-04,미국
플러그인 기반 관리 애플리케이션 시스템 및 이를 이용한 관리 방법,2007-08-07,2009-12-18,대한민국
이동 통신 시스템에서의 재전송 방법,2008-09-22,2010-12-21,미국
이동 통신 시스템에서의 단말의 기지국과의 초기 접속 방식 제어 방법,2009-06-01,2012-07-17,미국
MMR시스템의 프레임 구성 방법,2007-10-31,2011-04-05,미국
채널 대역이 가변적인 OFDM 시스템 PLL 장치 및 그 동작 방법,2007-10-26,2009-11-03,미국
ＩＰｖ４ 네트워크 기반 ＩＰｖ６ 서비스 제공 시스템에서의 제어 터널 및 다이렉트 터널 설정 방법,2009-06-03,2013-06-04,미국
저 전류 동작 및 낮은 임계전류를  가지는 반사형 광 증폭기/수퍼 루미네센스 다이오드,2007-10-26,2011-04-05,미국
전파세기가 다른 멀티채널을 이용하는 USN시스템 및 그 구성 방법,2006-12-07,2007-11-19,대한민국
네트워크기반의 지역 이동성 관리 기법에 의한 빠른 핸드오버 방법 및 시스템,2006-12-08,2008-10-02,대한민국
부반송파다중신호를 이용한 광 선로 장애 위치 검출 장치,2007-10-30,2011-11-01,미국
일회용 폴리머 칩을 이용한 자연대류 PCR 방법과 장치,2007-10-03,2014-05-27,미국
ＳＣ－ＦＤＭＡ 시스템에서의 다중 코드 워드 송수신 방법 및 장치,2007-06-13,2008-12-09,대한민국
ＳＣ-ＦＤＭＡ에서 다중 코드 워드 전송 방식 및 그 장치,2009-06-01,2013-08-27,미국
SC-FDMA에서 다중코드워드 전송 방식 및 장치,2016-06-24,2022-08-02,미국
이동 통신 시스템에서 다중 데이터 율을 갖는 인터폴레이션 FIR 필터 및 그를 이용한 필터링 방법,2007-10-26,2011-11-22,미국
이동통신시스템에서의 자동이득 제어 장치 및 그 방법,2007-10-26,2011-03-08,미국
성능 예측 기능을 제공하는 소프트웨어 개발 장치 및 방법,2007-09-10,2009-10-06,대한민국
장파장 표면방출 레이저 구조및 제조 방법,2007-12-05,2010-03-16,미국
다중 송수신 시스템의 신호검출 방법 및 수신 장치,2007-10-30,2012-01-17,미국
디지털신호처리프로세서의 소비전력 관리 제어장치 및 그를 이용한 소비전력 관리 시스템과 그 방법,2007-11-07,2011-08-30,미국
밀리미터파 대역 제어회로용 고격리도 스위치 소자,2007-10-30,2010-03-02,미국
OLED소자,2007-12-05,2011-05-31,미국
다양한 레이아웃을 갖는 오디오 객체들을 압축/복원하기 위한 객체기반 다채널 오디오 부호화 방법,2012-12-20,2014-01-10,일본
다양한 레이아웃을 갖는 오디오 객체들을 압축/복원하기 위한 객체기반 다채널 오디오 부호화 방법,2012-12-20,2014-03-11,미국
Mobile Relay 환경에서 그룹 핸드오버 방식,2009-07-14,2013-02-27,중국
상변화 메모리에서 쓰기 전력을 줄이기 위한 쓰기 전력 계산 데이터 반전 장치 및 방법,2008-02-29,2011-04-05,미국
"OFDM 셀룰러 시스템에서의 셀 탐색 방법, 순&#48225;향 링크 프레임 전송 방법 및 이를 이용하는 장치 및 순방향 링크 프레임 구조",2007-07-25,2015-10-21,독일
"OFDM 셀룰러 시스템에서의 셀 탐색 방법, 순방향 링크 프레임 전송 방법 및 이를 이용하는 장치 및 순방향 링크 프레임 구조",2013-03-15,2018-09-19,독일
"OFDM 셀룰러 시스템에서의 셀 탐색 방법, 순방향 링크 프레임 전송 방법 및 이를 이용하는 장치 및 순방향 링크 프레임 구조",2007-07-25,2015-11-11,영국
"OFDM 셀룰러 시스템에서의 셀 탐색 방법, 순&#48225;향 링크 프레임 전송 방법 및 이를 이용하는 장치 및 순방향 링크 프레임 구조",2007-07-25,2015-11-11,이탈리아
